"Currency Name","Price","Change","Change %","Market Cap","Volume","Circulating Supply","Timestamp"
"Bitcoin USD","62,721.64","-352.54","-0.56%","1.24T","15.837B","19.767M","2024-10-13 13:10:50"
"Ethereum USD","2,467.31","+7.36","+0.30%","297.023B","8.749B","120.383M","2024-10-13 13:10:51"
"Tether USDt USD","0.999542","-0.000240","-0.02%","119.683B","34.021B","119.738B","2024-10-13 13:10:51"
"BNB USD","572.87","-4.21","-0.73%","83.6B","1.427B","145.932M","2024-10-13 13:10:51"
"Solana USD","147.40","+0.35","+0.24%","69.227B","1.14B","469.638M","2024-10-13 13:10:51"
"USD Coin USD","0.999769","-0.000222","-0.02%","35.021B","2.482B","35.029B","2024-10-13 13:10:51"
"XRP USD","0.532287","-0.008842","-1.63%","30.151B","572.948M","56.645B","2024-10-13 13:10:51"
"Lido Staked ETH USD","2,465.53","+10.86","+0.44%","24.038B","10.626M","9.75M","2024-10-13 13:10:51"
"Dogecoin USD","0.111584","+0.000329","+0.30%","16.33B","516.624M","146.349B","2024-10-13 13:10:51"
"Wrapped TRON USD","0.162734","-0.000948","-0.58%","14.227B","2.679M","87.423B","2024-10-13 13:10:51"
